# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
event_infect_entities	Vissa här på fängelset har börjat bete sig rätt märkligt. De har blivit långsamma, stirrar ut i tomma intet och har konstiga röda fläckar på sig.
equipment_Crowbar	Kofot
equipment_BarbedWireBat	Slagtä med taggtråd
equipment_ModifiedHandgun	Modifierad pistol
equipment_ModifiedAssaultRifle	Modifierad automatkarbin
equipment_ChainsawWeapon	Motorsåg
object_BountyHunterTrike	Prisjägartrehjuling
d11_staffalert_title_BountyHunter	Fängelset håller på att övermannas, vi behöver hjälp med att hantera de odöda, illa kvickt!
object_ZombieChum	Bete för odöda
buildtoolbar_popup_obj_ZombieChum	Lägg ut bete för att locka bort de odöda från fängelseinvånarna. Definitivt inte gjort av hjärnor ... men det kommer att läka de odödas skador.
object_ornamentalgravestone	Prydnadsgravsten
buildtoolbar_popup_obj_ornamentalgravestone	Ett minne av alla de som har mist livet.
room_graveyard	Begravningsplats
quickbuild_graveyard	Begravningsplats
buildtoolbar_popup_room_graveyard	Begravningsplats för några av våra invånare. Huruvida de kommer att stanna i jorden återstår dock att se.
room_empty	Tomt rum
buildtoolbar_popup_room_empty	Nu behövs inte längre murar och dörrar för att avdela olika avdelningar. Använd det här tomma rummet för att skapa nya utrymmen för utstationering och tilldelning av säkerhetssektorer.
d11_graveyard_advisor_onboarding	Det rör på sig på begravningsplatsen. Det verkar som om de döda har tröttnat på trångboddheten under mark.
object_DistractionContraption	Avledningsanordning
buildtoolbar_popup_obj_DistractionContraption	En apparat som används för att avleda smittade grupper inom räckvidd under en kort period. Kan endast användas en gång per dygn. Det rekommenderas att använda den här apparaten runt midnatt, men det är inte ett krav.
d11_cooldown_name_DistractionContraption	Väntetid/cooldown:
object_Gate	Grind
buildtoolbar_popup_obj_Gate	En mörk port.
object_DoubleGate	Dubbelport
buildtoolbar_popup_obj_DoubleGate	En mörk port med två dörrar.
buildtoolbar_popup_obj_SiberianHusky	Ser överjordisk ut, men skenet bedrar. Brukar slicka både ansikten och sig själv, men inte alltid i den ordningen.
object_Corgi	Monarch
buildtoolbar_popup_obj_Corgi	Bedårande. Liten och nätt, vilket ger bättre aerodynamik. Förvånandsvärt smidig.
interface_action_LockPosition	Lås position
interface_action_UnlockPosition	Lås upp position
casueofdeath_drowned	Drunknad
causeofdeath_staffKill	Dödad av personalen
graph_label_timeFrame	Tidsram
graph_lastFive	Senaste 5 dagarna
graph_lastTen	Senaste 10 dagarna
graph_lastTwenty	Senaste 20 dagarna
d11_logging_zombified	[*T] *X har blivit odöd.
d11_logging_infection	[*T] De odödas smitta har spridit sig.
d11_logging_graveZombie	[*T] En odöd har stigit upp från sin grav.
codex_new_zombieOverlay	Överlägg över odöda
codex_new_overlay_only	Endast överlägg
codex_new_overlay_all	Fullt aktiverad
codex_tooltip_zombieOverlay	Lägger på ett överlägg för att ge spelet dess speciella prägel och kan även förvränga bilden för att framhäva större händelser i spelet.
damage_eaten	*X % uppäten
uniformPack_GraveyardShift	Överlägg över odöda:
uniformPack_GraveyardShift_desc	Ändrar basspelspersonalens uniformer för att visa slitage
d11_zombie_advisor_onboarding	Något märkligt är på gång ... Är personen därborta okej, tror du?
d11_prioritise_monitoring	Prioriterar övervakning
d11_prioritise_monitoring_tooltip	Om den aktiveras kommer vakterna att prioritera driftssäkerhetsenheter, som övervakningsmonitorer, över andra arbetsuppgifter.
objective_undeadCount	De odöda
objective_undeadCount_infections	Smittade grupper:
objective_undeadCount_undead	Odöda grupper:
objective_undeadCount_low	Låg risk:
objective_undeadCount_mid	Medelhög risk:
objective_undeadCount_high	Hög risk:
objective_undeadCount_description	De här odöda otygen orsakar förvisso en del problem, men glöm inte att du får betalt för varje odöd som du ger husrum, beräknat efter deras risknivå ... så länge du har säkrat dem vill säga.
reports_privilegesPolicy_tooltip_Main	Använd den här policyn för att begränsa vilka verksamheter eller vilka utrymmen varje säkerhetsnivå ska ha åtkomst till. Ett alternativ som har markerats med ett kryss beteckar fri åtkomst. I annat fall är åtkomsten begränsad för dem.
victory_adviserwarning_UndeadEscapes1	Jag såg nyss några ”rymlingar”. Du måste sluta att låta de här ... de här varelserna ... lämna fängelseområdet. Vem vet vad som kan hända om fler av dem lyckas fly.
victory_advisernotice_UndeadEscapes1	De är för många av dem ... De är överallt. Du hade din chans att stoppa dem, men nu får du istället se på nära håll vad du har ställt till med.
victory_UndeadEscapes	En odöd har rymt
victory_warning_UndeadEscapes	Du kommer att få stå till svars för det här
object_RobotDogDoo	Hundbajs
interface_action_Rotate	Rotera
prisonerTracking_AllPrisoners	Alla interner
prisonerTracking_FlightRisk	Rymningsrisk
prisonerTracking_Misconduct	Misskötsel:
buildtoolbar_popup_help_PrisonerTracking_4	^Tips
graph_axis_EscapedUndead	En odöd har rymt
buildtoolbar_popup_room_staffroom	Fängelsepersonal som behöver en paus från arbetet kan ta sin rast här. För att personalen ska kunna äta ifred måste personalrummet vara inställt på ”Endast personal” (Utstationeringssektorn) och ligga intill köket så att matbrickor kan hämtas av kökspersonalen och rengöras där.
d11_nearFuture_advisor_onboarding	Överväg att utrusta några av dina olydigare interner med ett spårningsbälte. Vi håller uppsikt över dem via bevakningsrummet.
object_TrackingMonitor	Spårningsmonitor
buildtoolbar_popup_uts_TrackingMonitor	Krävs för spårningsmenyn.\n\n Styrs av en vakt i ett bevakningsrum där interner som bär ett spårningsbälte övervakas. Anslut till routrar för att utvidga kontrollräckvidden.
object_HealthMonitor	Hälsomonitor
buildtoolbar_popup_uts_HealthMonitor	Krävs för spårningsmenyn.\n\n Håller koll på dina interners hälsa och status om de har ett spårningsbälte på sig. Installera i sjukstugan.
object_Router	Router
buildtoolbar_popup_uts_Router	Krävs för spårningsmenyn.\n\n När bältet är anslutet till spårningsmonitorn spårar det alla interner som bär det och som är inom räckvidd. Räckvidden kan kontrolleras individuellt eller via spårningsmenyn för att få full täckning.
object_VideoCallBooth	Bås för videosamtal
buildtoolbar_popup_uts_VideoCallBooth	Låt dina interner se sina närstående, även om de inte kan besöka fängelset.
object_advancedsearchlight	Avancerad söklykta
buildtoolbar_popup_uts_advancedsearchlight	En högteknologisk övervakningsenhet som använder ansiktsigenkänning, utformad för att upptäcka interner på rymmen eller avskräcka dem från att rymma. \n\nDu måste ansluta en övervakningsmonitor till det här objektet för att det ska fungera
object_MedicalBox	Förbandslåda
buildtoolbar_popup_obj_MedicalBox	Krävs för spårningsmenyn.\n\n Innehåller fem spårningsbälten.
object_TrackingBelt	Spårningsbälten
interfacecontraband_tracking	Spårning
job_GiveTrackingBelt	Ge internen ett spårningsbälte
uniformPack_future	Framtidsuniformer
uniformPack_future_desc	Ändrar din personals och internernas uniformer till en mer futuristisk design.
policy_staffbreakguards	Vakter:*P %
policy_staffbreakworkmen	Arbetare: *P %
policy_staffbreakcook	Kock: *P %
policy_staffbreakother	All annan personal: *P %
policy_staffbreaks	Personalraster
object_Subwoofer	Subwoofer
buildtoolbar_popup_obj_Subwoofer	Det här mekaniska undret är snabbare och har skarpare blick än en vanlig hund. Synd att den inte är så hållbar!
object_Byte	Byte
buildtoolbar_popup_obj_Byte	Den senaste trenden inom detekteringsteknik. Även om den är svagare än andra hundar, kompenserar dess skarpa sinnen väl för det.
material_GlassWall	Glasvägg
buildtoolbar_popup_mat_GlassWall	Om du inte kan riskera att ditt fängelse lämnas obevakat är det här den bästa murtypen.
quickbuild_GlassCell	Glascell
buildtoolbar_popup_room_GlassCell	Ett mindre privat hem för dina interner.
material_ElectrifiedFence	Elstängsel
buildtoolbar_popup_mat_ElectrifiedFence	Ett högspänningsstängsel i avskräckande syfte. \nKräver kablage under varje ruta
equipment_keycard	Nyckelkort
object_KeycardDoor	Nyckelkortsdörr
buildtoolbar_popup_obj_KeycardDoor	Vakter med ett nyckelkort eller interner med spårningsbälten kan passera genom denna dörr, men interners tillträde kan dras in för en eller flera dörrar.
object_KeycardDoorLarge	Stor nyckelkortsdörr
buildtoolbar_popup_obj_KeycardDoorLarge	Vakter med ett nyckelkort eller interner med spårningsbälten kan passera genom denna dörr, men interners tillträde kan dras in för en eller flera dörrar.
entity_carryingkeycard	Bär nyckelkort
material_HexagonalTiles	Hexagonala plattor
buildtoolbar_popup_mat_HexagonalTiles	Rutor är passé – stig in i den hexagonalformade framtiden.
material_TriangularTiles	Triangulära plattor
buildtoolbar_popup_mat_TriangularTiles	Rutor är passé – stig in i den triangulära framtiden.
schedule_zone_visitoronly	Endast besökare
interfacedeployment_visitoronlyzone	Endast besökare
buildtoolbar_deployment_visitoronlyzone	Ett område för besökare och allmänheten. Bara de har tillstånd att vistas på den här avdelningen.
action_videocall	Ringa hem
warden_WardenAlexisLin_name	Alexis Lin
warden_WardenAlexisLin_desc	Tror att teknik är framtiden. Respekterad av kollegorna, fruktad av internerna. \n\n-60 % långsammare kuvningsavmattningshastighet. \n-Anstiftare ökar inte risken för att interner i närheten ska ställa till med bråk. \n-Minskar frekvensen av dåligt uppförande hos extremt ostabila interner med 50 %.
warden_WardenAlexisLin_desc_short	- Kuvningshastigheten avmattas 60 % långsammare än normalt.\n- Anstiftare ökar inte risken för att interner i närheten ska ställa till med bråk.\n-Minskar frekvensen av dåligt uppförande hos extremt ostabila interner med 50 %.
prisonerTracking_Title	Spårningsmeny
interfacecontraband_PrisonerTracking	Spårningsmeny
buildtoolbar_contraband_PrisonerTracking	Gör det möjligt att kontrollera dina interner för att säkerställa att de är vid god hälsa och inte missköter sig. Kolla hjälpavsnittet för mer information
prisonerTracking_TrackedPrisoners	Spårade interner
prisonerTracking_SubstanceAbuse	Drogmissbruk
prisonerTracking_Virus	Virus/sjukdom
trackingmenu_ViewRange	Växla räckvidd
interface_action_refuseBeltAccess	Upphäv tillträde via bälte
prisonerTracking_PrisonersLists	Alla interner\nAtt ändra i internernas grupperingar kommer att korta ner listan med interner ytterligare.\n\nRymningsrisk\nDe här internerna överväger eller planerar redan ett rymningsförsök.\n\nDåligt uppförande\nAlla interner som har misskött sig under de senaste 48 timmarna.\n\nDrogmissbruk\nInterner som har blivit beroende av droger och riskerar att ta en överdos.\n\nVirus/sjukdom\nDe som har fått någon form av negativ hälsostatus och kan riskera sin egen hälsa eller vara en fara för andra.
d11_trackingMenu_locked	För att kunna användas kräver den här menyn: \n - En läkare \n - En hälsomonitor \n -En förbandslåda \n -En spårningsmonitor och en router
buildtoolbar_popup_help_PrisonerTracking_1	I menyn för spårningsunderrättelser listas alla interner som finns i fängelset. För att kunna använda menyn krävs en läkare, en sjukstuga, med en hälsomonitor och en förbandslåda och ett bevakningsrum med en spårningsmonitor och en router.\n
buildtoolbar_popup_help_PrisonerTracking_2	Du kan ändra informationen på listorna till det du själv föredrar för att få snabb åtkomst. Växla mellan Alla, Rymningsrisk, Dåligt uppförande, Drogmissbruk och Virus/andra sjukdomar.\n\n
buildtoolbar_popup_help_PrisonerTracking_3	~Välj den intern som du vill följa och bli larmad om han går till en del av fängelset som han inte får vistas i eller om han är i fara. En markör ovanför deras huvuden hjälper dig se var de befinner sig.\n\n
buildtoolbar_popup_help_PrisonerTracking_5	- Säkerställ att ditt fängelse är säkert. Att flytta ut och kontollera interner som smugglar in smuggelgods för att minska risken för att de rymmer eller skadar andra interner eller personal.\n
buildtoolbar_popup_help_PrisonerTracking_6	Skapa program och se till att ha tillräckligt många läkare anställda för att skydda interner med drogmissbruk.\n\n
prisonerTracking_confirm_equip	Skicka internen till sjukstugan för att utrusta honom med ett spårningsbälte?
prisonerTracking_confirm_unequip	Skicka internen till sjukstugan för att ta av honom spårningsbältet?
codex_options_clocktype_undead	Odöda (analog)
codex_options_clocktype_future	Framtid (analog)
graph_axis_TotalEscapedUndead	Alla förrymda odöda
equipment_stunbaton	Elbatong
finance_cost_stunbaton	Utrustning: Elbatong
d11_stun_baton_caption	Utrusta med elbatonger
d11_stun_baton_tooltip	Välj det här alternativet för att utrusta dina vakter med varsin elbatong som kan vara till extra stöd när de behöver hålla tillbaka bråkiga interner. Kräver ett vapenförråd och kostar *X dollar per vakt. Tillsammans med vanliga vakter kan kravallvakterna också utrustas med de nya batongerna utan att deras tjänster kostar mer.
dlc_name_futureTech	Future Tech Pack
roomgrading_Cell_HasGlassWalls	[*E] Omgiven av glasväggar
roomgrading_Dormitory_HasGlassWalls	[*E] Omgiven av glasväggar
roomgrading_Canteen_HasGlassWalls	[*E] Omgiven av glasväggar
roomgrading_Gymnasium_HasGlassWalls	[*E] Omgiven av glasväggar
roomgrading_CommonRoom_HasGlassWalls	[*E] Omgiven av glasväggar
