# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
occupiedCell_selectablePrisoner	Bu mahkumu ve onu taşımak istediğin yeri seçmek için sağ tıkla.
mutator_name_NoMinRoomSize	Oda Boyutu Yok
mutator_tooltip_NoMinRoomSize	Artık oda boyutu gerekliliği yok! Ama odanın çalışması için hâlâ gerekli eşyaları alman gerek.
action_GangBusiness	Çete İşleri
action_GangRecruitment	Çeteye Eleman Alıyor
action_GangPromotion	Çete Terfisi
action_ActionHerb	Hile Karıştırıyor
action_LoadBaby	Bebek Taşıyor
action_WarmUp	Isınıyor
action_ListenToRadio	Radyo Dinliyor
action_GetSnack	Atıştırmalık Alıyor
action_Drink	İçki Alıyor
action_DoPullUps	Barfiks Çekiyor
action_KneeRaises	Diz Kaldırıyor
action_PushUps	Şınav Çekiyor
reform_program_properties_RequiresAllStudentsPresent	Tüm öğrencilerin burada olması gerekiyor
d11_tableClaim_title	*G kontrolünde
d11_tableClaim_desc	Mahkumları masalarından tahliye etmek için masalar taşınabilir veya sökülebilir.
d11_tableClaim_desc_cont	Tabii bunun sonucunda mahkumlar öfkelenebilir.
schedulesearch_menu_ClearSchedule	Planı Temizle

ageCategory_Young	Genç
ageCategory_Senior	Yetişkin
ageCategory_Elderly	Yaşlı
causeofdeath_naturalcauses	Doğal Sebepler
codex_option_prisonerAging	Mahkum Yaşlanması
codex_tooltip_prisonerAging	Bu seçeneği etkinleştirmek mahkumların yıllar geçtikçe fiziksel olarak yaşlanmasını sağlar. Yaşlanan mahkumlar genç hallerine oranla daha bitkin ve güçsüz olur.
interfacemode_electricity	Elektrik
interfacemode_water	Su
interfacemode_connections	Kablolar
interface_rectangle_cost	Bedel
interface_rectangle_width	Genişlik
interface_rectangle_height	Yükseklik
scheduler_prisonerandstaff	Mahkumlar ve Personel
codex_option_plotGridCoords_title	Arsa Izgarası/Koordinatları
codex_plotGrid	Izgara Arayüzü
codex_plotCoords	Koordinatlar
codex_plotGridAndCoords	İkisi De Etkin
interfaceplanning_fence	Çitler
mutator_name_DailyHearse	Ölüleri Getir!
mutator_tooltip_DailyHearse	Cenaze arabaları artık her gün akşam 8'de gelir. Geri gönderilirlerse ertesi gün geri dönerler.
security_menu_default	Kategori Seç
regime_eatLockdown	Yedir/Kilitle
regime_showerLockdown	Duş Aldır/Kilitle
regimetooltip_eatLockdown	Mahkumlar yemek yemek için atandıkları kantine gider veya kantindeki diğer olanakları kullanır. Yemek yemeyi bitiren mahkumlar "Kilit" altındaymış gibi hücrelerine kapatılır.
regimetooltip_showerLockdown	Mahkumlar iyice yıkanmak için duşlara gider ve varsa temiz üniformalar giyer. Duş almayı bitiren mahkumlar "Kilit" altındaymış gibi hücrelerine kapatılır.
rooms_AllRooms	Tüm Odalar
object_searchlight	İnsansız Arama Işığı
buildtoolbar_popup_obj_searchlight	Geceleri yanan hareketli ışık. Uygunsuz davranan mahkumları karanlıkta tespit etmene yardım eder.
material_DarkWoodFloor	Koyu Ahşap Zemin
buildtoolbar_popup_mat_DarkWoodFloor	Ofislere çok uygun, sağlam keresteden zemin.
buildtoolbar_popup_obj_BarbedWire	Duvarlarının daha heybetli ve güvenli durmasına yardım edecek dikenli tel.
object_SofaChairDoubleBrown	Büyük Kanepe (Kahverengi)
buildtoolbar_popup_obj_SofaChairDoubleBrown	Oturması rahat olan yumuşak ve büyük yapı. İki kişilik.
interface_action_rank	Rütbe
rank_title	Rütbeler
rank_subtitle	Yeni Rütbe:
rank_senior	Kıdemli Gardiyan
rank_officer	Subay
rank_specialist	Uzman Subay
rank_popup_text_1	Kıdemli Gardiyanlar, Subaylar ve Uzman Subaylar daha güçlü olur ve daha zor ölür ancak fırsat verilirse hapishanenin daha sakin bölgelerine öncelik verirler.\n\n
rank_popup_text_2	Terfi Süreci'ne başlamadan önce tüm gardiyanların Gardiyan Tazer Sertifikası'nı alması gerekir. Subayların hapishanede en az 10 gün, Uzman Subaylarınsa 20 gün geçirmesi gerekir.\nHerkes terfi edilemez. Her 10 Kıdemli Gardiyan'dan yalnızca 4'ü Subay olabilir ve her 3 Subay'dan yalnızca 1'i Uzman Subay olabilir.
finance_cost_gun	Ekipman: Tabanca
buildtoolbar_popup_room_laundry	Çamaşır yıkama görevi verilen hademe ve mahkumlar kirli üniformaları buraya getirir, onları temizler, ütüler ve yeniden dağıtır.
buildtoolbar_popup_room_visitation	Mahkumların aileleriyle görüşebildiğini alan. Ailelerin, görüşmeleri hapishaneye kaçak mal sokmak için kullanabileceğini unutma.
buildtoolbar_popup_room_cleaningcupboard	İçinde temizlik malzemeleri bulunan bir dolap. Mahkum işçilere temizlik görevi vermek için bir temizlik dolabı gerekir.
buildtoolbar_popup_room_armoury	Silahlı gardiyanların görevde olmadıkları zamanlarda bu odada durur. Tüm balistik silahlar bu odada tutulur.
buildtoolbar_popup_room_forestry	Ağaç yetiştirilen bir yer. Ağaçlar satılık ürünler üretmek üzere Atölye'de kullanılabilir.
buildtoolbar_popup_room_classroom	Mahkumların Eğitici Islah Programlarına katılabileceği bir sınıf.
buildtoolbar_popup_room_exports	İşçiler veya mahkumlar tarafından üretilen tüm mallar burada toplanır.
buildtoolbar_popup_room_mailroom	Mahkumlarının posta alabilmesine imkân tanır. Posta Odası'nda da mahkumlar çalışır.
buildtoolbar_popup_room_psychiatristoffice	Psikiyatristinin suç işleyebilen deli mahkumları teşhis etmesi için bir alan. Suç işleyebilen deli mahkumların tedavi kalitesini arttırmak için yeni nesneler açıp Psikiyatrist Ofisi'ne ekle. Eşyalar, suç işleyebilen deli mahkumlar Psikiyatrik Danışmanlık Programlarına katıldıkça açılır.
d11_logging_caption	Hapishane Defteri'ni Etkinleştir
d11_logging_caption_tooltip	Hapishanede gerçekleşen ölüm, kötü davranış ve mahkum tahliyeleri gibi tüm önemli olayları anlık olarak gösteren defter.
d11_logging_header	Hapishane Defteri
d11_logging_murder	[*T] *Y, *X tarafından öldürüldü
d11_logging_murder_weapon	[*T] *Y, *X tarafından *Z ile öldürüldü
d11_logging_envriomentalDeath	[*T] *X öldü. Ölüm sebebi: *Y
d11_logging_gangTeritory	[*T] *X çetesi yeni bir bölge sahiplendi
d11_logging_joinGang	[*T] *X, *Y çetesine katıldı
d11_logging_leaveGang	[*T] *X, *Y çetesinden ayrılmaya karar verdi
d11_logging_newLeader	[*T] *X, *Y çetesinin lideri oldu
d11_logging_leaderKilled	[*T] *X çetesinin lideri öldürüldü
d11_logging_programPass	[*T] *Y, *X tarafından başarıyla tamamlandı
d11_logging_prisonerRelease	[*T] *X hapishaneden tahliye oldu
d11_logging_prisonerReformed	[*T] *X ıslah oldu
d11_logging_prisonerReoffended	[*T] *X tekrar suç işledi ve hapishaneye döndü
d11_logging_prisonerEscaped	[*T] *X kaçtı
d11_logging_misconduct	[*T] *X, *Y kötü davranışında bulundu
rapsheet_tab_events	Mahkum Defteri
codex_basegamesettings	Temel Ayarlar
codex_dlcsettings	DLC Ayarları
codex_savepreferences	Kayıt Tercihleri
codex_loadpreferences	Yükleme Tercihleri
codex_new_gender	Cinsiyet
codex_new_uniformpicker	Üniforma Seçici
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Pembe
Uniform_Picker_Selection	Bu seçeneği seçmek mevcut üniforma paketini değiştirir.
Uniform_Picker_DLCRequired	Bu üniforma paketini açmak için *X gerekiyor.
uniformPack_Default	Klasik Üniformalar
uniformPack_Default_desc	Dayanıklı üniformalar, en az 10 yıl dayanma garantili.
equipment_GarbageBag	Çöp Torbası
equipment_SafetyGoggles	Koruyucu Gözlük
material_DarkWoodFloor	Koyu Ahşap Zemin
buildtoolbar_popup_mat_DarkWoodFloor	Ofislere çok uygun, sağlam keresteden zemin.
equipment_brick	Tuğla
equipment_export	Dışsatımlar
mainMenu_upsell	Hemen Al!
equipment_crate	Kasa
equipment_logPile	Kütük Yığını
equipment_box	Kutu
equipment_mailUnsorted	Posta Çantası
equipment_food	Yiyecek
equipment_waterBucket	Su Kovası
dlc_name_qol1	Ömür Boyu Özgür
action_BabySleep	[Bebek] Uykusu
action_BabyPlay	[Bebek] Oyunu
quickbuild_Security	Güvenlik
quickbuild_Parole	Şartlı Tahliye
quickbuild_Kennel	Köpek Kulübesi
graph_allTime	Tüm Zamanlar
victory_UndeadEscapes_units	FİRARLAR
d11_logging_gangFight	[*T] *Y çetesinden *X, bir çete kavgasının saldırganıydı
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	Örnek biri olarak liderlik yapan ve başkalarına ilham veren iyi bir adam. Hem yaşayanların hem de ölülerin çok saygı duyduğu eski bir vaiz. \n- Hortlak Yürüme Hızında -%15 Azalma \n- Hortlaklara +%10 Daha Fazla Hasar \n- Tutulan Hortlakların Günlük Ödeme değerini arttırır
warden_wardenzombieskeller_desc_short	- Hortlak Yürüme Hızında -%15 Azalma \n- Hortlaklara +%10 Daha Fazla Hasar \n- Tutulan Hortlakların Günlük Ödeme değerini arttırır
object_zombie	Hortlak
interface_zombieTier	Hortlak Kademesi:
status_effect_StatusRunningInFear	Korku içinde kaçıyor
status_effect_infected	Enfekte
material_TaintedFloor	Verimsiz
buildtoolbar_popup_mat_TaintedFloor	Burada hiçbir şey yetiştirilemez.
material_FenceWall	Çit Duvar
buildtoolbar_popup_mat_FenceWall	Bu duvarlar oldukça ürkütücü.
material_YellowStraightLineTiles	Beton Fayans (Düz)
material_YellowCornerLineTiles	Beton Fayans (Köşe)
buildtoolbar_popup_mat_Rotatable	Döndürülebilir
finances_category_zombiepayments	Hortlak Ödemeleri
dlc_name_graveyardShift	Hortlak
codex_new_theUndead	Hortlaklar!
codex_tooltip_theUndead	Bir salgın mı? Bu bildiğin virüslerden değil, bu kötülüğün kökünü kazıyabilirsin umarım.\n\nDevre Dışı - Bırak ölüler dinlensin.\n\nDüşük - Kolay ve idare edilebilir.\n\nOrta - Biraz daha zorlayıcı olması için.\n\nYüksek - Kâbus modu, daha yüksek nitelikler ve çıkma oranı, Hortlaklar artık savunmasız birimlere saldırırken iyileşebilirler.
event_infect_entities	Bazı insanlar biraz tuhaf davranıyor. Yavaş hareket ediyorlar, boş boş bakıyorlar ve üstlerinde kırmızı lekeler var.
equipment_Crowbar	Levye
equipment_BarbedWireBat	Dikenli Telli Beyzbol Sopası
equipment_ModifiedHandgun	Modifiyeli Tabanca
equipment_ModifiedAssaultRifle	Modifiyeli Saldırı Tüfeği
equipment_ChainsawWeapon	Testere
interfacecallout_BountyHunters	Ödül Avcıları
object_BountyHunter	Ödül Avcısı
object_BountyHunterTrike	Ödül Avcısı Motoru
d11_staffalert_title_BountyHunter	Hapishane yenik düşüyor, acilen hortlaklarla ilgilenmek için yardıma ihtiyacımız var.
object_ZombieChum	Hortlak Yemi
buildtoolbar_popup_obj_ZombieChum	Hortlakları hapishane nüfusundan uzaklaştırmak için yere bir parça yem koy. Beyinden yapılmadığı kesin olsa da, yaralı hortlakları iyileştirir.
object_ornamentalgravestone	Süs Mezar Taşı
buildtoolbar_popup_obj_ornamentalgravestone	Vefat etmiş insanlar için bir yadigâr.
room_graveyard	Mezarlık
quickbuild_graveyard	Mezarlık
buildtoolbar_popup_room_graveyard	Bazı hapishane sakinlerimizin ebedi istirahat yerleri. İstirahatte kalmak isteyip istemeyecekleri apayrı bir konu.
room_empty	Boş Oda
buildtoolbar_popup_room_empty	Artık alanları ayırmak için duvarlara ve kapılara ihtiyacın yok. Bu boş odayı kullanarak yerleştirme ve güvenlik bölümleri atama için yeni alanlar oluştur.
d11_graveyard_advisor_onboarding	Mezarlıkta bir çeşit hareketlenme var. Yer kalmadığından dolayı ölüler dünyamızda yürüyormuş gibi görünüyor.
object_DistractionContraption	Oyalama Düzeneği
buildtoolbar_popup_obj_DistractionContraption	Menzildeki herhangi enfekte birimi oyalamak için kullanılan bir ses cihazı, her 24 saatte bir kullanılabilir. Bu nesneyi gece yarısına yakın bir saatte kullanmak mecburi olmasa da önerilir.
d11_cooldown_name_DistractionContraption	Bekleme Süresi:
d11_cooldown_hours_DistractionContraption	*X saat
object_Gate	Geçit
buildtoolbar_popup_obj_Gate	Bir karanlık geçit.
object_DoubleGate	İkili Geçit
buildtoolbar_popup_obj_DoubleGate	İkili bir karanlık geçit.
object_SiberianHusky	Hayalet
buildtoolbar_popup_obj_SiberianHusky	Semavi görünüşüne aldanma. Hem yüzleri, hem de kendini yalamaya zaafı var ama her zaman o sırayla hareket etmez.
object_Corgi	Hükümdar
buildtoolbar_popup_obj_Corgi	Tatlı ve şirin. İyileştirilmiş aerodinamik için yerden yüksekliği alçak. Şaşırtıcı derecede çevik.
interface_action_LockPosition	Konumu Kilitle
interface_action_UnlockPosition	Konumun Kilidini Aç
casueofdeath_drowned	Boğuldu
causeofdeath_staffKill	Personel Tarafından Öldürüldü
graph_label_timeFrame	Zaman Dilimi
graph_lastFive	Son 5 Gün
graph_lastTen	Son 10 Gün
graph_lastTwenty	Son 20 Gün
d11_logging_zombified	[*T] *X bir Hortlak oldu.
d11_logging_infection	[*T] Bir Hortlak enfeksiyonu yayılıyor.
d11_logging_graveZombie	[*T] Bir Hortlak mezarında dirildi.
codex_new_zombieOverlay	Hortlak Kaplaması
codex_new_overlay_only	Sadece Kaplama
codex_new_overlay_all	Tamamen Etkin
codex_tooltip_zombieOverlay	Oyunun tonuna destek olacak bir kaplama uygular ve oyun içindeki önemli olayları vurgulamak için görsel bir bozulma sunar.
damage_eaten	%*X Yenildi
uniformPack_GraveyardShift	Hortlak Üniformaları
uniformPack_GraveyardShift_desc	Temel oyun personelinin üniformalarını kullanılmış ve yırtık görünecek şekilde değiştirir.
d11_zombie_advisor_onboarding	Tuhaf bir şey oluyor... Şuradaki kişi sence iyi mi?
d11_prioritise_monitoring	Gözlemlemeye Öncelik Ver
d11_prioritise_monitoring_tooltip	Etkinleştirilirse, gardiyanlar diğer işlerden önce CCTV monitörleri gibi güvenlik nesnelerini kullanmayı öncelikli tutarlar.
objective_undeadCount	Hortlaklar
objective_undeadCount_infections	Enfekte Birimler:
objective_undeadCount_undead	Hortlak Birimler:
objective_undeadCount_low	Düşük Kademe:
objective_undeadCount_mid	Orta Kademe:
objective_undeadCount_high	Yüksek Kademe:
objective_undeadCount_description	Bu hortlak baş belaları biraz sorun yaratsa da, kademelerine göre barındırdığın her hortlak başına ödeme alacağını unutma, doğru bir şekilde tutuluyorlarsa tabii ki.
reports_privilegesPolicy_tooltip_Main	Bu politikayı her güvenlik seviyesinin erişebileceği aktiviteleri ve olanakları kısıtlamak için kullan. Bir seçenek çarpıyla işaretlenmişse bu ona erişimleri olduğu anlamına gelir, aksi takdirde o ayrıcalıkları kısıtlıdır.
victory_adviserwarning_UndeadEscapes1	Birkaç "firari" gördüm. Bu şeyleri... Bu şeyler... Onların hapishane topraklarından ayrılmasını önlemelisin. Daha fazlası kaçarsa ne olacağını bilemeyiz.
victory_advisernotice_UndeadEscapes1	Çok fazlalar... her yerdeler. Bunu durdurma şansın vardı, şimdi ise sebep olduğun acıyı tadacaksın.
victory_UndeadEscapes	Hortlak Kaçtı
victory_warning_UndeadEscapes	Bunun için sorumlu tutulacaksın
object_RobotDogDoo	Köpek Kakası
interface_action_Rotate	Rotasyon
prisonerTracking_AllPrisoners	Tüm Mahkumlar
prisonerTracking_Misconduct	Kabahat:
buildtoolbar_popup_help_PrisonerTracking_4	^İpuçları
graph_axis_EscapedUndead	Hortlak Kaçtı
buildtoolbar_popup_room_staffroom	Çalışmaktan yorulan personel burada rahatlayıp dinlenebilir. Personellerin doğru yemek yeme davranışları için (Yerleştirme Bölgesi'ndeki) Personel odasının "Sadece Personel" olarak ayarlanması ve tepsi toplama ile temizlik için bir mutfağa bağlanması gerekiyor.
d11_nearFuture_advisor_onboarding	Kötü davranışta bulunmayı düşünen mahkumlarına Takip Kemeri giydirmeyi düşünebilirsin. Güvenlik Odası'ndan onları takip edeceğiz.
object_TrackingMonitor	Takip Monitörü
buildtoolbar_popup_uts_TrackingMonitor	Takip Menüsü için gereklidir.\n\n Takip Kemeri giyen mahkumları gözetlemek için Güvenlik odasındaki bir Gardiyan tarafından çalıştırılır. Görüş menzilini arttırmak için Arama Aletlerine bağla.
object_HealthMonitor	Sağlık Monitörü
buildtoolbar_popup_uts_HealthMonitor	Takip Menüsü için gereklidir.\n\n Takip Kemeri giyen mahkumların sağlıklarını ve durumlarını gösterir. Bir revirin içine yerleştirilir.
object_Router	Arama Aleti
buildtoolbar_popup_uts_Router	Takip Menüsü için gereklidir.\n\n Bu eşya Takip Monitörü'ne bağlandığında menzili içine giren silahlı mahkumları gösterir. Her bir Arama Aleti'nin menzili ayrı ayrı incelenebilir ya da Takip Menüsü'nden hepsinin kapsadığı alan görülebilir.
object_VideoCallBooth	Görüntülü Konuşma Kabini
buildtoolbar_popup_uts_VideoCallBooth	Ziyaretin yasak olduğu zamanlarda bile mahkumlarının sevdiklerini görmelerine izin ver.
object_advancedsearchlight	Gelişmiş Arama Işığı
buildtoolbar_popup_uts_advancedsearchlight	Kaçan mahkumları yüz tanıma sistemiyle tespit eden ve caydıran son model bir gözetleme cihazı. \n\nBu nesnenin çalışması için ona bir CCTV Monitörü bağlamalısın.
object_MedicalBox	İlk Yardım Çantası
buildtoolbar_popup_obj_MedicalBox	Takip Menüsü için gereklidir.\n\n 5 Takip Kemeri içerir.
object_TrackingBelt	Takip Kemerleri
interfacecontraband_tracking	Takip
job_GiveTrackingBelt	Mahkuma Takip Kemeri Ver
uniformPack_future	Gelecek Üniformaları
uniformPack_future_desc	Personellerin ve Mahkumların üniformalarını gelecek temalı bir tasarımla değiştirir.
policy_staffbreakguards	Gardiyanlar: %*P
policy_staffbreakworkmen	İşçiler: %*P
policy_staffbreakcook	Aşçı: %*P
policy_staffbreakother	Diğer tüm Personeller: %*P
