# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
rapsheet_cellChoice	Choisir une nouvelle cellule
rapsheet_ChangeCell	Changer de cellule
ChangeCellUpgradeSuccessful	Vous avez réussi à promouvoir *X dans une meilleure cellule.
ChangeCellDowngradeSuccessful	Vous avez rétrogradé *X et l'avez placé dans une plus mauvaise cellule.
ChangeCellNoAvailableRooms	Il n'y a aucune salle disponible pour y déplacer *X. Voulez-vous utiliser le menu personnalisé d'échange de pièces ?
ChangeCellDowngradingGangLeader	Vous êtes sur le point de déplacer un chef de gang dans une cellule de qualité inférieure, ce qui va perturber son gang et pourrait causer des problèmes dans votre prison.
freeCell_movePrisoner	Faites un clic droit pour déplacer le prisonnier dans cette cellule.
occupiedCell_movePrisoner	Faites un clic droit pour échanger le détenu avec l'occupant de cette cellule.
occupiedCell_selectablePrisoner	Faites un clic droit pour sélectionner ce détenu et choisir où vous souhaitez le déplacer.
mutator_name_NoMinRoomSize	Pas de taille de pièce
mutator_tooltip_NoMinRoomSize	Il n'y a plus d'exigences en matière de taille de pièce ! Mais vous devez toujours vous procurer les objets requis pour que la pièce fonctionne.
action_GangBusiness	Affaires du gang
action_GangRecruitment	Recrutement pour le gang
action_GangPromotion	Promotion du gang
action_ActionHerb	Sabotage
action_LoadBaby	Transporter un bébé
action_WarmUp	Échauffement
action_GetSnack	Manger un snack
action_Drink	Prendre une boisson
action_DoPullUps	Faire des tractions
action_KneeRaises	Lever de genoux
action_PushUps	Pompes
reform_program_properties_RequiresAllStudentsPresent	Nécessite la présence de tous les élèves
d11_tableClaim_title	Sous le contrôle de *G
d11_tableClaim_desc	Pour les chasser de leurs tables, déplacez-les ou démontez-les.
d11_tableClaim_desc_cont	Mais cela risque de les mettre en colère.
schedulesearch_menu_ClearSchedule	Effacer le calendrier


interfacemode_water	Eau
interfacemode_connections	Câblage
interface_rectangle_width	Largeur
interface_rectangle_height	Hauteur
interfaceplanning_fence	Clôtures
security_menu_default	Choisir la catégorie
buildtoolbar_popup_obj_SofaChairDoubleBrown	Un grand meuble confortable lorsqu'on s'y assoit. Convient à deux personnes.
rank_title	Rangs :
rank_officer	Officier
buildtoolbar_popup_room_laundry	Les concierges et les détenus assignés au service de blanchisserie apporteront ici les uniformes sales, les nettoieront, les repasseront, puis les redistribueront.
buildtoolbar_popup_room_visitation	C'est ici que les détenus peuvent rencontrer leurs familles. Attention, les familles peuvent utiliser les visites comme un moyen de faire entrer clandestinement de la contrebande dans la prison.
buildtoolbar_popup_room_cleaningcupboard	Entreposage des objets de nettoyage. Une armoire de nettoyage est nécessaire avant de pouvoir attribuer des tâches de nettoyage aux détenus.
buildtoolbar_popup_room_armoury	Vos gardiens armés resteront dans cette pièce lorsqu'ils ne sont pas en service. Toutes les armes balistiques sont gardées ici.
buildtoolbar_popup_room_forestry	Un endroit pour faire pousser des arbres, les arbres peuvent être utilisés pour créer des produits dans l'atelier afin de les vendre.
buildtoolbar_popup_room_classroom	Un lieu d'apprentissage, où les détenus peuvent participer à des programmes de réhabilitation éducative.
buildtoolbar_popup_room_exports	Tous les biens créés par les ouvriers ou les détenus seront apportés ici pour être collectés.
buildtoolbar_popup_room_mailroom	Permet à vos détenus à recevoir du courrier. Le personnel de la salle du courrier est également composé de détenus.
ageCategory_Young	Jeune
ageCategory_Senior	Vétéran
ageCategory_Elderly	Ancêtre
causeofdeath_naturalcauses	Causes naturelles
codex_option_prisonerAging	Vieillissement des détenus
codex_tooltip_prisonerAging	Activer cette option permettra aux détenus de vieillir physiquement au fil des ans. Ils deviendront moins énergiques et plus faibles par rapport à leur jeunesse.
interfacemode_electricity	Électrique
interface_rectangle_cost	Coût
scheduler_prisonerandstaff	Prisonniers et personnel
codex_option_plotGridCoords_title	Grille / coordonnées du terrain
codex_plotGrid	Superposition de la grille
codex_plotCoords	Coordonnées
codex_plotGridAndCoords	Tous actifs
mutator_name_DailyHearse	Apportez vos macchabées !
mutator_tooltip_DailyHearse	Les corbillards arriveront désormais tous les jours à 20 heures. S'ils sont renvoyés, ils reviendront le jour suivant.
regime_eatLockdown	Manger/Enfermer
regime_showerLockdown	Douche/Enfermer
regimetooltip_eatLockdown	Les détenus doivent se rendre à la cantine qui leur est attribuée pour manger, ou utiliser d'autres installations de la cantine. Après avoir fini de manger, les détenus sont confinés dans leur cellule comme s'ils étaient enfermés.
regimetooltip_showerLockdown	Les détenus se rendent aux douches pour une bonne toilette et s'habillent ensuite d'un uniforme propre, s'ils en ont un. Une fois la douche terminée, les détenus sont confinés dans leur cellule comme s'ils étaient enfermés.
rooms_AllRooms	Toutes les pièces
object_searchlight	Projecteur de recherche autonome
buildtoolbar_popup_obj_searchlight	Un projecteur rotatif qui fonctionne pendant la nuit. Il vous aide à repérer les détenus qui se comportent mal dans l'obscurité.
material_DarkWoodFloor	Plancher en bois sombre
buildtoolbar_popup_mat_DarkWoodFloor	Un plancher en bois massif, parfait pour les bureaux.
buildtoolbar_popup_obj_BarbedWire	Une fixation en forme de pointe pour que vos murs aient l'air plus imposants et sécurisés.
object_SofaChairDoubleBrown	Grand Canapé (Brun)
interface_action_rank	Rang
rank_subtitle	Changer le rang pour :
rank_senior	Gardien vétéran
rank_specialist	Officier spécialiste
rank_popup_text_1	Les gardiens vétérans, les officiers et les officiers spécialistes seront plus forts et plus difficiles à tuer. Toutefois, s'ils en ont la possibilité, ils préféreront travailler dans les zones les plus calmes de la prison.\n\n
rank_popup_text_2	Tous les gardiens doivent finir la certification Taser pour commencer le processus de promotion. Les officiers doivent avoir passé au moins 10 jours en prison, les officiers spécialistes ont besoin de 20 jours.\nTout le monde ne peut pas être promu, seuls 4 gardiens vétérans sur 10 peuvent devenir officiers et seul 1 officier sur 3 peut devenir officier spécialiste.
finance_cost_gun	Équipement : Pistolet
buildtoolbar_popup_room_psychiatristoffice	Un espace pour que votre psychiatre puisse diagnostiquer les détenus psychopathes. Déverrouillez et placez des objets supplémentaires dans le bureau du psychiatre pour améliorer le traitement des détenus psychopathes. Les objets sont déverrouillés par les détenus participant aux programmes de consultation psychiatrique.
d11_logging_caption	Activer le journal de la prison
d11_logging_caption_tooltip	Un journal en direct de tous les événements majeurs survenant au sein de la prison, des décès et fautes professionnelles aux libérations de détenus.
d11_logging_header	Journal de la prison
d11_logging_murder	[*T] *X a assassiné *Y
d11_logging_murder_weapon	[*T] *X a assassiné *Y avec *Z
d11_logging_envriomentalDeath	[*T] *X : *Y
d11_logging_gangTeritory	[*T] *X a réclamé un nouveau territoire
d11_logging_joinGang	[*T] *X a rejoint *Y
d11_logging_leaveGang	[*T] *X a choisi de quitter*Y
d11_logging_newLeader	[*T] *X était devenu le nouveau chef de *Y
d11_logging_leaderKilled	[*T] *X Le chef a été tué
d11_logging_programPass	[*T] *X a réussi le programme *Y
d11_logging_prisonerRelease	[*T] *X a été libéré de prison
d11_logging_prisonerReformed	[*T] *X a été réformé
d11_logging_prisonerReoffended	[*T] *X a récidivé et est retourné en prison
d11_logging_prisonerEscaped	[*T] *X s'est évadé
d11_logging_misconduct	[*T] *X Mauvaise conduite :*Y
rapsheet_tab_events	Journal du prisonnier
codex_basegamesettings	Paramètres de base
codex_dlcsettings	Paramètres DLC
codex_savepreferences	Enregistrer les préférences
codex_loadpreferences	Charger les préférences
codex_new_gender	Sexe
codex_new_uniformpicker	Choix d'uniforme
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Magenta
Uniform_Picker_Selection	En choisissant cette option, vous remplacerez le lot d'uniformes actuel.
Uniform_Picker_DLCRequired	*X est nécessaire pour débloquer ce lot d'uniformes
uniformPack_Default	Uniforme classique
uniformPack_Default_desc	Des uniformes faits pour durer. Plus de 10 ans de durée de vie garantie !
equipment_GarbageBag	Sac poubelle
equipment_SafetyGoggles	Lunettes de sécurité
material_DarkWoodFloor	Plancher en bois sombre
buildtoolbar_popup_mat_DarkWoodFloor	Un plancher en bois massif, parfait pour les bureaux.
equipment_brick	Brique
equipment_export	Exportations
mainMenu_upsell	Achetez maintenant !
equipment_crate	Caisse
equipment_logPile	Tas de bois
equipment_box	Boîte
equipment_mailUnsorted	Sac de courrier
equipment_food	Nourriture
equipment_waterBucket	Seau d'eau
dlc_name_qol1	Libre à vie
action_BabySleep	Sommeil [bébé]
action_BabyPlay	Jeu [bébé]
quickbuild_Security	Sécurité
quickbuild_Parole	Salle de conditionnelle
quickbuild_Kennel	Chenil
interfacecallout_BountyHunters	Des chasseurs de primes l’ont
object_BountyHunter	Des chasseurs de primes l’ont
d11_cooldown_hours_DistractionContraption	*X heures
object_SiberianHusky	Fantôme
graph_allTime	tout le temps
victory_UndeadEscapes_units	ÉVASIONS
d11_logging_gangFight	[*T] *X des *Y était l'agresseur lors d'une bagarre de gang
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	Un homme bon qui montre l'exemple et inspire les autres. Ancien prédicateur très apprécié des vivants... et des morts. \n- -15 % à la vitesse de marche des morts-vivants\n- +10 % d'augmentation des dégâts aux morts-vivants\n- Augmente la valeur des paiements quotidiens pour les morts-vivants enfermés.
warden_wardenzombieskeller_desc_short	- - -15 % à la vitesse de marche des morts-vivants\n- +10 % d'augmentation des dégâts aux morts-vivants\n- Augmente la valeur des paiements quotidiens pour les morts-vivants enfermés.
object_zombie	Mort-vivant
interface_zombieTier	Rang Mort-vivant :
status_effect_StatusRunningInFear	S'enfuir en panique
status_effect_infected	Infecté
material_TaintedFloor	Contaminé
buildtoolbar_popup_mat_TaintedFloor	Rien ne semble pousser par ici.
material_FenceWall	Mur clôture
buildtoolbar_popup_mat_FenceWall	Ces murs sont particulièrement sinistres.
material_YellowStraightLineTiles	Dalles en béton (droite)
material_YellowCornerLineTiles	Dalles en béton (angle)
buildtoolbar_popup_mat_Rotatable	Peut être tourné
finances_category_zombiepayments	Paiements morts-vivants
dlc_name_graveyardShift	Mort-vivant
codex_new_theUndead	Le Mort-vivant !
codex_tooltip_theUndead	Une épidémie ? Ce n'est pas un virus ordinaire, espérons que vous parviendrez à couper ce mal par sa racine.\n\nDésactivé - Laissez les morts reposer en paix.\n\nBas - Facile et gérable.\n\nMoyen - Un peu plus de défi.\n\nÉlevé - Mode cauchemar, avec des statistiques plus élevées, des taux de réapparition. Donne également aux morts-vivants la possibilité de se soigner lorsqu'ils attaquent des unités sans défense.
event_infect_entities	Certaines personnes semblent agir de façon un peu étrange, elles se déplacent lentement, ont le regard vide et sont recouvertes d'un liquide rouge répugnant.
equipment_Crowbar	Pied-de-biche
equipment_BarbedWireBat	Batte de baseball avec fil barbelé
equipment_ModifiedHandgun	Pistolet modifié
equipment_ModifiedAssaultRifle	Fusil d’assaut modifié
equipment_ChainsawWeapon	Tronçonneuse
object_BountyHunterTrike	Trike de chasseur de primes
d11_staffalert_title_BountyHunter	On est en train de perdre le contrôle de la prison, nous avons besoin d'aide pour gérer les morts-vivants, et vite !
